ds,y,index
1956-01,93.2,0
1956-02,96,1
1956-03,95.2,2
1956-04,77.1,3
1956-05,70.9,4
1956-06,64.8,5
1956-07,70.1,6
1956-08,77.3,7
1956-09,79.5,8
1956-10,100.6,9
1956-11,100.7,10
1956-12,107.1,11
1957-01,95.9,12
1957-02,82.8,13
1957-03,83.3,14
1957-04,80,15
1957-05,80.4,16
1957-06,67.5,17
1957-07,75.7,18
1957-08,71.1,19
1957-09,89.3,20
1957-10,101.1,21
1957-11,105.2,22
1957-12,114.1,23
1958-01,96.3,24
1958-02,84.4,25
1958-03,91.2,26
1958-04,81.9,27
1958-05,80.5,28
1958-06,70.4,29
1958-07,74.8,30
1958-08,75.9,31
1958-09,86.3,32
1958-10,98.7,33
1958-11,100.9,34
1958-12,113.8,35
1959-01,89.8,36
1959-02,84.4,37
1959-03,87.2,38
1959-04,85.6,39
1959-05,72,40
1959-06,69.2,41
1959-07,77.5,42
1959-08,78.1,43
1959-09,94.3,44
1959-10,97.7,45
1959-11,100.2,46
1959-12,116.4,47
1960-01,97.1,48
1960-02,93,49
1960-03,96,50
1960-04,80.5,51
1960-05,76.1,52
1960-06,69.9,53
1960-07,73.6,54
1960-08,92.6,55
1960-09,94.2,56
1960-10,93.5,57
1960-11,108.5,58
1960-12,109.4,59
1961-01,105.1,60
1961-02,92.5,61
1961-03,97.1,62
1961-04,81.4,63
1961-05,79.1,64
1961-06,72.1,65
1961-07,78.7,66
1961-08,87.1,67
1961-09,91.4,68
1961-10,109.9,69
1961-11,116.3,70
1961-12,113,71
1962-01,100,72
1962-02,84.8,73
1962-03,94.3,74
1962-04,87.1,75
1962-05,90.3,76
1962-06,72.4,77
1962-07,84.9,78
1962-08,92.7,79
1962-09,92.2,80
1962-10,114.9,81
1962-11,112.5,82
1962-12,118.3,83
1963-01,106,84
1963-02,91.2,85
1963-03,96.6,86
1963-04,96.3,87
1963-05,88.2,88
1963-06,70.2,89
1963-07,86.5,90
1963-08,88.2,91
1963-09,102.8,92
1963-10,119.1,93
1963-11,119.2,94
1963-12,125.1,95
1964-01,106.1,96
1964-02,102.1,97
1964-03,105.2,98
1964-04,101,99
1964-05,84.3,100
1964-06,87.5,101
1964-07,92.7,102
1964-08,94.4,103
1964-09,113,104
1964-10,113.9,105
1964-11,122.9,106
1964-12,132.7,107
1965-01,106.9,108
1965-02,96.6,109
1965-03,127.3,110
1965-04,98.2,111
1965-05,100.2,112
1965-06,89.4,113
1965-07,95.3,114
1965-08,104.2,115
1965-09,106.4,116
1965-10,116.2,117
1965-11,135.9,118
1965-12,134,119
1966-01,104.6,120
1966-02,107.1,121
1966-03,123.5,122
1966-04,98.8,123
1966-05,98.6,124
1966-06,90.6,125
1966-07,89.1,126
1966-08,105.2,127
1966-09,114,128
1966-10,122.1,129
1966-11,138,130
1966-12,142.2,131
1967-01,116.4,132
1967-02,112.6,133
1967-03,123.8,134
1967-04,103.6,135
1967-05,113.9,136
1967-06,98.6,137
1967-07,95,138
1967-08,116,139
1967-09,113.9,140
1967-10,127.5,141
1967-11,131.4,142
1967-12,145.9,143
1968-01,131.5,144
1968-02,131,145
1968-03,130.5,146
1968-04,118.9,147
1968-05,114.3,148
1968-06,85.7,149
1968-07,104.6,150
1968-08,105.1,151
1968-09,117.3,152
1968-10,142.5,153
1968-11,140,154
1968-12,159.8,155
1969-01,131.2,156
1969-02,125.4,157
1969-03,126.5,158
1969-04,119.4,159
1969-05,113.5,160
1969-06,98.7,161
1969-07,114.5,162
1969-08,113.8,163
1969-09,133.1,164
1969-10,143.4,165
1969-11,137.3,166
1969-12,165.2,167
1970-01,126.9,168
1970-02,124,169
1970-03,135.7,170
1970-04,130,171
1970-05,109.4,172
1970-06,117.8,173
1970-07,120.3,174
1970-08,121,175
1970-09,132.3,176
1970-10,142.9,177
1970-11,147.4,178
1970-12,175.9,179
1971-01,132.6,180
1971-02,123.7,181
1971-03,153.3,182
1971-04,134,183
1971-05,119.6,184
1971-06,116.2,185
1971-07,118.6,186
1971-08,130.7,187
1971-09,129.3,188
1971-10,144.4,189
1971-11,163.2,190
1971-12,179.4,191
1972-01,128.1,192
1972-02,138.4,193
1972-03,152.7,194
1972-04,120,195
1972-05,140.5,196
1972-06,116.2,197
1972-07,121.4,198
1972-08,127.8,199
1972-09,143.6,200
1972-10,157.6,201
1972-11,166.2,202
1972-12,182.3,203
1973-01,153.1,204
1973-02,147.6,205
1973-03,157.7,206
1973-04,137.2,207
1973-05,151.5,208
1973-06,98.7,209
1973-07,145.8,210
1973-08,151.7,211
1973-09,129.4,212
1973-10,174.1,213
1973-11,197,214
1973-12,193.9,215
1974-01,164.1,216
1974-02,142.8,217
1974-03,157.9,218
1974-04,159.2,219
1974-05,162.2,220
1974-06,123.1,221
1974-07,130,222
1974-08,150.1,223
1974-09,169.4,224
1974-10,179.7,225
1974-11,182.1,226
1974-12,194.3,227
1975-01,161.4,228
1975-02,169.4,229
1975-03,168.8,230
1975-04,158.1,231
1975-05,158.5,232
1975-06,135.3,233
1975-07,149.3,234
1975-08,143.4,235
1975-09,142.2,236
1975-10,188.4,237
1975-11,166.2,238
1975-12,199.2,239
1976-01,182.7,240
1976-02,145.2,241
1976-03,182.1,242
1976-04,158.7,243
1976-05,141.6,244
1976-06,132.6,245
1976-07,139.6,246
1976-08,147,247
1976-09,166.6,248
1976-10,157,249
1976-11,180.4,250
1976-12,210.2,251
1977-01,159.8,252
1977-02,157.8,253
1977-03,168.2,254
1977-04,158.4,255
1977-05,152,256
1977-06,142.2,257
1977-07,137.2,258
1977-08,152.6,259
1977-09,166.8,260
1977-10,165.6,261
1977-11,198.6,262
1977-12,201.5,263
1978-01,170.7,264
1978-02,164.4,265
1978-03,179.7,266
1978-04,157,267
1978-05,168,268
1978-06,139.3,269
1978-07,138.6,270
1978-08,153.4,271
1978-09,138.9,272
1978-10,172.1,273
1978-11,198.4,274
1978-12,217.8,275
1979-01,173.7,276
1979-02,153.8,277
1979-03,175.6,278
1979-04,147.1,279
1979-05,160.3,280
1979-06,135.2,281
1979-07,148.8,282
1979-08,151,283
1979-09,148.2,284
1979-10,182.2,285
1979-11,189.2,286
1979-12,183.1,287
1980-01,170,288
1980-02,158.4,289
1980-03,176.1,290
1980-04,156.2,291
1980-05,153.2,292
1980-06,117.9,293
1980-07,149.8,294
1980-08,156.6,295
1980-09,166.7,296
1980-10,156.8,297
1980-11,158.6,298
1980-12,210.8,299
1981-01,203.6,300
1981-02,175.2,301
1981-03,168.7,302
1981-04,155.9,303
1981-05,147.3,304
1981-06,137,305
1981-07,141.1,306
1981-08,167.4,307
1981-09,160.2,308
1981-10,191.9,309
1981-11,174.4,310
1981-12,208.2,311
1982-01,159.4,312
1982-02,161.1,313
1982-03,172.1,314
1982-04,158.4,315
1982-05,114.6,316
1982-06,159.6,317
1982-07,159.7,318
1982-08,159.4,319
1982-09,160.7,320
1982-10,165.5,321
1982-11,205,322
1982-12,205.2,323
1983-01,141.6,324
1983-02,148.1,325
1983-03,184.9,326
1983-04,132.5,327
1983-05,137.3,328
1983-06,135.5,329
1983-07,121.7,330
1983-08,166.1,331
1983-09,146.8,332
1983-10,162.8,333
1983-11,186.8,334
1983-12,185.5,335
1984-01,151.5,336
1984-02,158.1,337
1984-03,143,338
1984-04,151.2,339
1984-05,147.6,340
1984-06,130.7,341
1984-07,137.5,342
1984-08,146.1,343
1984-09,133.6,344
1984-10,167.9,345
1984-11,181.9,346
1984-12,202,347
1985-01,166.5,348
1985-02,151.3,349
1985-03,146.2,350
1985-04,148.3,351
1985-05,144.7,352
1985-06,123.6,353
1985-07,151.6,354
1985-08,133.9,355
1985-09,137.4,356
1985-10,181.6,357
1985-11,182,358
1985-12,190,359
1986-01,161.2,360
1986-02,155.5,361
1986-03,141.9,362
1986-04,164.6,363
1986-05,136.2,364
1986-06,126.8,365
1986-07,152.5,366
1986-08,126.6,367
1986-09,150.1,368
1986-10,186.3,369
1986-11,147.5,370
1986-12,200.4,371
1987-01,177.2,372
1987-02,127.4,373
1987-03,177.1,374
1987-04,154.4,375
1987-05,135.2,376
1987-06,126.4,377
1987-07,147.3,378
1987-08,140.6,379
1987-09,152.3,380
1987-10,151.2,381
1987-11,172.2,382
1987-12,215.3,383
1988-01,154.1,384
1988-02,159.3,385
1988-03,160.4,386
1988-04,151.9,387
1988-05,148.4,388
1988-06,139.6,389
1988-07,148.2,390
1988-08,153.5,391
1988-09,145.1,392
1988-10,183.7,393
1988-11,210.5,394
1988-12,203.3,395
1989-01,153.3,396
1989-02,144.3,397
1989-03,169.6,398
1989-04,143.7,399
1989-05,160.1,400
1989-06,135.6,401
1989-07,141.8,402
1989-08,159.9,403
1989-09,145.7,404
1989-10,183.5,405
1989-11,198.2,406
1989-12,186.8,407
1990-01,172,408
1990-02,150.6,409
1990-03,163.3,410
1990-04,153.7,411
1990-05,152.9,412
1990-06,135.5,413
1990-07,148.5,414
1990-08,148.4,415
1990-09,133.6,416
1990-10,194.1,417
1990-11,208.6,418
1990-12,197.3,419
1991-01,164.4,420
1991-02,148.1,421
1991-03,152,422
1991-04,144.1,423
1991-05,155,424
1991-06,124.5,425
1991-07,153,426
1991-08,146,427
1991-09,138,428
1991-10,190,429
1991-11,192,430
1991-12,192,431
1992-01,147,432
1992-02,133,433
1992-03,163,434
1992-04,150,435
1992-05,129,436
1992-06,131,437
1992-07,145,438
1992-08,137,439
1992-09,138,440
1992-10,168,441
1992-11,176,442
1992-12,188,443
1993-01,139,444
1993-02,143,445
1993-03,150,446
1993-04,154,447
1993-05,137,448
1993-06,129,449
1993-07,128,450
1993-08,140,451
1993-09,143,452
1993-10,151,453
1993-11,177,454
1993-12,184,455
1994-01,151,456
1994-02,134,457
1994-03,164,458
1994-04,126,459
1994-05,131,460
1994-06,125,461
1994-07,127,462
1994-08,143,463
1994-09,143,464
1994-10,160,465
1994-11,190,466
1994-12,182,467
1995-01,138,468
1995-02,136,469
1995-03,152,470
1995-04,127,471
1995-05,151,472
1995-06,130,473
1995-07,119,474
1995-08,153,475